industry_code,industry_name_pt,bucket,metric_code,metric_name_pt,unit,frequency
72,Acomodação e alimentação,sector,value_added_nominal,Valor adicionado nominal,millions_usd,A
72,Acomodação e alimentação,sector,value_added_nominal,Valor adicionado nominal,millions_usd,Q
72,Acomodação e alimentação,sector,value_added_price_index,Índice de preços do valor adicionado,index,A
72,Acomodação e alimentação,sector,value_added_price_index,Índice de preços do valor adicionado,index,Q
72,Acomodação e alimentação,sector,value_added_real,Valor adicionado real,millions_chained_2017_usd,A
72,Acomodação e alimentação,sector,value_added_real,Valor adicionado real,millions_chained_2017_usd,Q
11,"Agropecuária, silvicultura, pesca e caça",sector,value_added_nominal,Valor adicionado nominal,millions_usd,A
11,"Agropecuária, silvicultura, pesca e caça",sector,value_added_nominal,Valor adicionado nominal,millions_usd,Q
11,"Agropecuária, silvicultura, pesca e caça",sector,value_added_price_index,Índice de preços do valor adicionado,index,A
11,"Agropecuária, silvicultura, pesca e caça",sector,value_added_price_index,Índice de preços do valor adicionado,index,Q
11,"Agropecuária, silvicultura, pesca e caça",sector,value_added_real,Valor adicionado real,millions_chained_2017_usd,A
11,"Agropecuária, silvicultura, pesca e caça",sector,value_added_real,Valor adicionado real,millions_chained_2017_usd,Q
71,"Artes, entretenimento e recreação",sector,value_added_nominal,Valor adicionado nominal,millions_usd,A
71,"Artes, entretenimento e recreação",sector,value_added_nominal,Valor adicionado nominal,millions_usd,Q
71,"Artes, entretenimento e recreação",sector,value_added_price_index,Índice de preços do valor adicionado,index,A
71,"Artes, entretenimento e recreação",sector,value_added_price_index,Índice de preços do valor adicionado,index,Q
71,"Artes, entretenimento e recreação",sector,value_added_real,Valor adicionado real,millions_chained_2017_usd,A
71,"Artes, entretenimento e recreação",sector,value_added_real,Valor adicionado real,millions_chained_2017_usd,Q
33DG,Bens duráveis,subsector,value_added_nominal,Valor adicionado nominal,millions_usd,A
33DG,Bens duráveis,subsector,value_added_nominal,Valor adicionado nominal,millions_usd,Q
33DG,Bens duráveis,subsector,value_added_price_index,Índice de preços do valor adicionado,index,A
