date,country_name,exports_total,imports_total,trade_balance
2015,BRAZIL,31640538352.0,27473620048.0,4166918304.0
2016,BRAZIL,30193264308.0,26043371004.0,4149893304.0
2017,BRAZIL,37330688140.0,29461613229.0,7869074911.0
2018,BRAZIL,39400347658.0,31203047235.0,8197300423.0
2019,BRAZIL,42862723730.0,30934128999.0,11928594731.0
2020,BRAZIL,34591765452.0,23363615837.0,11228149615.0
2021,BRAZIL,46986998292.0,31236663983.0,15750334309.0
2022,BRAZIL,54432504656.0,38909316096.0,15523188560.0
2023,BRAZIL,44539201887.0,39060502224.0,5478699663.0
2024,BRAZIL,49136108132.0,42348411089.0,6787697043.0
2025,BRAZIL,54383648702.0,39937867130.0,14445781572.0
