country_name,country_name_norm,country_code
AFGHANISTAN,AFGHANISTAN,5310
ALBANIA,ALBANIA,4810
ALGERIA,ALGERIA,7210
ANDORRA,ANDORRA,4271
ANGOLA,ANGOLA,7620
ANGUILLA,ANGUILLA,2481
ANTIGUA AND BARBUDA,ANTIGUA AND BARBUDA,2484
ARGENTINA,ARGENTINA,3570
ARMENIA,ARMENIA,4631
ARUBA,ARUBA,2779
AUSTRALIA,AUSTRALIA,6021
AUSTRIA,AUSTRIA,4330
AZERBAIJAN,AZERBAIJAN,4632
BAHAMAS,BAHAMAS,2360
BAHRAIN,BAHRAIN,5250
BANGLADESH,BANGLADESH,5380
BARBADOS,BARBADOS,2720
BELARUS,BELARUS,4622
BELGIUM,BELGIUM,4231
BELIZE,BELIZE,2080
BENIN,BENIN,7610
BERMUDA,BERMUDA,2320
BHUTAN,BHUTAN,5682
BOLIVIA,BOLIVIA,3350
BOSNIA AND HERZEGOVINA,BOSNIA AND HERZEGOVINA,4793
BOTSWANA,BOTSWANA,7930
BRAZIL,BRAZIL,3510
BRITISH INDIAN OCEAN TERRITORIES,BRITISH INDIAN OCEAN TERRITORIES,7810
BRITISH VIRGIN ISLANDS,BRITISH VIRGIN ISLANDS,2482
BRUNEI,BRUNEI,5610
BULGARIA,BULGARIA,4870
BURKINA FASO,BURKINA FASO,7600
BURMA,BURMA,5460
BURUNDI,BURUNDI,7670
CABO VERDE,CABO VERDE,7643
CAMBODIA,CAMBODIA,5550
CAMEROON,CAMEROON,7420
CANADA,CANADA,1220
CAYMAN ISLANDS,CAYMAN ISLANDS,2440
CENTRAL AFRICAN REPUBLIC,CENTRAL AFRICAN REPUBLIC,7540
CHAD,CHAD,7560
CHILE,CHILE,3370
CHINA,CHINA,5700
CHRISTMAS ISLAND,CHRISTMAS ISLAND,6024
COCOS (KEELING) ISLANDS,COCOS (KEELING) ISLANDS,6023
COLOMBIA,COLOMBIA,3010
COMOROS,COMOROS,7890
CONGO,CONGO,7630
COOK ISLANDS,COOK ISLANDS,6142
COSTA RICA,COSTA RICA,2230
COTE D'IVOIRE,COTE D'IVOIRE,7480
CROATIA,CROATIA,4791
CUBA,CUBA,2390
CURACAO,CURACAO,2777
CYPRUS,CYPRUS,4910
CZECH REPUBLIC,CZECH REPUBLIC,4351
DEMOCRATIC REPUBLIC OF THE CONGO,DEMOCRATIC REPUBLIC OF THE CONGO,7660
DENMARK,DENMARK,4099
DJIBOUTI,DJIBOUTI,7770
DOMINICA,DOMINICA,2486
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,2470
ECUADOR,ECUADOR,3310
EGYPT,EGYPT,7290
EL SALVADOR,EL SALVADOR,2110
EQUATORIAL GUINEA,EQUATORIAL GUINEA,7380
ERITREA,ERITREA,7741
ESTONIA,ESTONIA,4470
ESWATINI,ESWATINI,7950
ETHIOPIA,ETHIOPIA,7749
FALKLAND ISLANDS (ISLAS MALVINAS),FALKLAND ISLANDS (ISLAS MALVINAS),3720
FAROE ISLANDS,FAROE ISLANDS,4091
FIJI,FIJI,6863
FINLAND,FINLAND,4050
FRANCE,FRANCE,4279
FRENCH GUIANA,FRENCH GUIANA,3170
FRENCH POLYNESIA,FRENCH POLYNESIA,6414
FRENCH SOUTHERN AND ANTARCTIC LANDS,FRENCH SOUTHERN AND ANTARCTIC LANDS,7905
GABON,GABON,7550
GAMBIA,GAMBIA,7500
GAZA STRIP ADMINISTERED BY ISRAEL,GAZA STRIP ADMINISTERED BY ISRAEL,5082
GEORGIA,GEORGIA,4633
GERMANY,GERMANY,4280
GHANA,GHANA,7490
GIBRALTAR,GIBRALTAR,4720
GREECE,GREECE,4840
GREENLAND,GREENLAND,1010
GRENADA,GRENADA,2489
GUADELOUPE,GUADELOUPE,2831
GUATEMALA,GUATEMALA,2050
GUINEA,GUINEA,7460
GUINEA-BISSAU,GUINEA-BISSAU,7642
GUYANA,GUYANA,3120
HAITI,HAITI,2450
HEARD AND MCDONALD ISLANDS,HEARD AND MCDONALD ISLANDS,6029
HONDURAS,HONDURAS,2150
HONG KONG,HONG KONG,5820
HUNGARY,HUNGARY,4370
ICELAND,ICELAND,4000
INDIA,INDIA,5330
INDONESIA,INDONESIA,5600
IRAN,IRAN,5070
IRAQ,IRAQ,5050
IRELAND,IRELAND,4190
ISRAEL,ISRAEL,5081
ITALY,ITALY,4759
JAMAICA,JAMAICA,2410
JAPAN,JAPAN,5880
JORDAN,JORDAN,5110
KAZAKHSTAN,KAZAKHSTAN,4634
KENYA,KENYA,7790
KIRIBATI,KIRIBATI,6226
"KOREA, NORTH","KOREA, NORTH",5790
"KOREA, SOUTH","KOREA, SOUTH",5800
KOSOVO,KOSOVO,4803
KUWAIT,KUWAIT,5130
KYRGYZSTAN,KYRGYZSTAN,4635
LAOS,LAOS,5530
LATVIA,LATVIA,4490
LEBANON,LEBANON,5040
LESOTHO,LESOTHO,7990
LIBERIA,LIBERIA,7650
LIBYA,LIBYA,7250
LIECHTENSTEIN,LIECHTENSTEIN,4411
LITHUANIA,LITHUANIA,4510
LUXEMBOURG,LUXEMBOURG,4239
MACAU,MACAU,5660
MACEDONIA,MACEDONIA,4794
MADAGASCAR,MADAGASCAR,7880
MALAWI,MALAWI,7970
MALAYSIA,MALAYSIA,5570
MALDIVES,MALDIVES,5683
MALI,MALI,7450
MALTA,MALTA,4730
MARSHALL ISLANDS,MARSHALL ISLANDS,6810
MARTINIQUE,MARTINIQUE,2839
MAURITANIA,MAURITANIA,7410
MAURITIUS,MAURITIUS,7850
MAYOTTE,MAYOTTE,7881
MEXICO,MEXICO,2010
MICRONESIA,MICRONESIA,6820
MOLDOVA,MOLDOVA,4641
MONACO,MONACO,4272
MONGOLIA,MONGOLIA,5740
MONTENEGRO,MONTENEGRO,4804
MONTSERRAT,MONTSERRAT,2485
MOROCCO,MOROCCO,7140
MOZAMBIQUE,MOZAMBIQUE,7870
NAMIBIA,NAMIBIA,7920
NAURU,NAURU,6862
NEPAL,NEPAL,5360
NETHERLANDS,NETHERLANDS,4210
NEW CALEDONIA,NEW CALEDONIA,6412
NEW ZEALAND,NEW ZEALAND,6141
NICARAGUA,NICARAGUA,2190
NIGER,NIGER,7510
NIGERIA,NIGERIA,7530
NIUE,NIUE,6144
NORFOLK ISLAND,NORFOLK ISLAND,6022
NORWAY,NORWAY,4039
OMAN,OMAN,5230
PAKISTAN,PAKISTAN,5350
PALAU,PALAU,6830
PANAMA,PANAMA,2250
PAPUA NEW GUINEA,PAPUA NEW GUINEA,6040
PARAGUAY,PARAGUAY,3530
PERU,PERU,3330
PHILIPPINES,PHILIPPINES,5650
PITCAIRN ISLANDS,PITCAIRN ISLANDS,6225
POLAND,POLAND,4550
PORTUGAL,PORTUGAL,4710
QATAR,QATAR,5180
REUNION,REUNION,7904
ROMANIA,ROMANIA,4850
RUSSIA,RUSSIA,4621
RWANDA,RWANDA,7690
SAMOA,SAMOA,6150
SAN MARINO,SAN MARINO,4751
SAO TOME AND PRINCIPE,SAO TOME AND PRINCIPE,7644
SAUDI ARABIA,SAUDI ARABIA,5170
SENEGAL,SENEGAL,7440
SERBIA,SERBIA,4801
SEYCHELLES,SEYCHELLES,7800
SIERRA LEONE,SIERRA LEONE,7470
SINGAPORE,SINGAPORE,5590
SINT MAARTEN,SINT MAARTEN,2774
SLOVAKIA,SLOVAKIA,4359
SLOVENIA,SLOVENIA,4792
SOLOMON ISLANDS,SOLOMON ISLANDS,6223
SOMALIA,SOMALIA,7700
SOUTH AFRICA,SOUTH AFRICA,7910
