country_name,country_name_norm,country_code
AFRICA,AFRICA,7XXX
APEC,APEC,0026
ASEAN,ASEAN,0027
ASIA,ASIA,5XXX
AUSTRALIA AND OCEANIA,AUSTRALIA AND OCEANIA,6XXX
CACM,CACM,0028
CAFTA-DR,CAFTA-DR,0017
CENTRAL AMERICA,CENTRAL AMERICA,2XXX
EURO AREA,EURO AREA,0025
EUROPE,EUROPE,4XXX
EUROPEAN UNION,EUROPEAN UNION,0003
LAFTA,LAFTA,0024
NATO,NATO,0023
NORTH AMERICA,NORTH AMERICA,1XXX
OECD,OECD,0022
OPEC,OPEC,0001
PACIFIC RIM COUNTRIES,PACIFIC RIM COUNTRIES,0014
SOUTH AMERICA,SOUTH AMERICA,3XXX
TWENTY LATIN AMERICAN REPUBLICS,TWENTY LATIN AMERICAN REPUBLICS,0021
USMCA (NAFTA),USMCA (NAFTA),0020
