country_code,country_code_norm,country_name,country_name_norm,partner_type,partner_type_pt,is_country
5310,5310,AFGHANISTAN,AFGHANISTAN,country,pais,True
4810,4810,ALBANIA,ALBANIA,country,pais,True
7210,7210,ALGERIA,ALGERIA,country,pais,True
4271,4271,ANDORRA,ANDORRA,country,pais,True
7620,7620,ANGOLA,ANGOLA,country,pais,True
2481,2481,ANGUILLA,ANGUILLA,country,pais,True
2484,2484,ANTIGUA AND BARBUDA,ANTIGUA AND BARBUDA,country,pais,True
3570,3570,ARGENTINA,ARGENTINA,country,pais,True
4631,4631,ARMENIA,ARMENIA,country,pais,True
2779,2779,ARUBA,ARUBA,country,pais,True
6021,6021,AUSTRALIA,AUSTRALIA,country,pais,True
4330,4330,AUSTRIA,AUSTRIA,country,pais,True
4632,4632,AZERBAIJAN,AZERBAIJAN,country,pais,True
2360,2360,BAHAMAS,BAHAMAS,country,pais,True
5250,5250,BAHRAIN,BAHRAIN,country,pais,True
5380,5380,BANGLADESH,BANGLADESH,country,pais,True
2720,2720,BARBADOS,BARBADOS,country,pais,True
4622,4622,BELARUS,BELARUS,country,pais,True
4231,4231,BELGIUM,BELGIUM,country,pais,True
2080,2080,BELIZE,BELIZE,country,pais,True
7610,7610,BENIN,BENIN,country,pais,True
2320,2320,BERMUDA,BERMUDA,country,pais,True
5682,5682,BHUTAN,BHUTAN,country,pais,True
3350,3350,BOLIVIA,BOLIVIA,country,pais,True
4793,4793,BOSNIA AND HERZEGOVINA,BOSNIA AND HERZEGOVINA,country,pais,True
7930,7930,BOTSWANA,BOTSWANA,country,pais,True
3510,3510,BRAZIL,BRAZIL,country,pais,True
7810,7810,BRITISH INDIAN OCEAN TERRITORIES,BRITISH INDIAN OCEAN TERRITORIES,country,pais,True
2482,2482,BRITISH VIRGIN ISLANDS,BRITISH VIRGIN ISLANDS,country,pais,True
5610,5610,BRUNEI,BRUNEI,country,pais,True
4870,4870,BULGARIA,BULGARIA,country,pais,True
7600,7600,BURKINA FASO,BURKINA FASO,country,pais,True
5460,5460,BURMA,BURMA,country,pais,True
7670,7670,BURUNDI,BURUNDI,country,pais,True
7643,7643,CABO VERDE,CABO VERDE,country,pais,True
5550,5550,CAMBODIA,CAMBODIA,country,pais,True
7420,7420,CAMEROON,CAMEROON,country,pais,True
1220,1220,CANADA,CANADA,country,pais,True
2440,2440,CAYMAN ISLANDS,CAYMAN ISLANDS,country,pais,True
7540,7540,CENTRAL AFRICAN REPUBLIC,CENTRAL AFRICAN REPUBLIC,country,pais,True
7560,7560,CHAD,CHAD,country,pais,True
3370,3370,CHILE,CHILE,country,pais,True
5700,5700,CHINA,CHINA,country,pais,True
6024,6024,CHRISTMAS ISLAND,CHRISTMAS ISLAND,country,pais,True
6023,6023,COCOS (KEELING) ISLANDS,COCOS (KEELING) ISLANDS,country,pais,True
3010,3010,COLOMBIA,COLOMBIA,country,pais,True
7890,7890,COMOROS,COMOROS,country,pais,True
7630,7630,CONGO,CONGO,country,pais,True
6142,6142,COOK ISLANDS,COOK ISLANDS,country,pais,True
2230,2230,COSTA RICA,COSTA RICA,country,pais,True
7480,7480,COTE D'IVOIRE,COTE D'IVOIRE,country,pais,True
4791,4791,CROATIA,CROATIA,country,pais,True
2390,2390,CUBA,CUBA,country,pais,True
2777,2777,CURACAO,CURACAO,country,pais,True
4910,4910,CYPRUS,CYPRUS,country,pais,True
4351,4351,CZECH REPUBLIC,CZECH REPUBLIC,country,pais,True
7660,7660,DEMOCRATIC REPUBLIC OF THE CONGO,DEMOCRATIC REPUBLIC OF THE CONGO,country,pais,True
4099,4099,DENMARK,DENMARK,country,pais,True
7770,7770,DJIBOUTI,DJIBOUTI,country,pais,True
2486,2486,DOMINICA,DOMINICA,country,pais,True
2470,2470,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,country,pais,True
3310,3310,ECUADOR,ECUADOR,country,pais,True
7290,7290,EGYPT,EGYPT,country,pais,True
2110,2110,EL SALVADOR,EL SALVADOR,country,pais,True
7380,7380,EQUATORIAL GUINEA,EQUATORIAL GUINEA,country,pais,True
7741,7741,ERITREA,ERITREA,country,pais,True
4470,4470,ESTONIA,ESTONIA,country,pais,True
7950,7950,ESWATINI,ESWATINI,country,pais,True
7749,7749,ETHIOPIA,ETHIOPIA,country,pais,True
3720,3720,FALKLAND ISLANDS (ISLAS MALVINAS),FALKLAND ISLANDS (ISLAS MALVINAS),country,pais,True
4091,4091,FAROE ISLANDS,FAROE ISLANDS,country,pais,True
6863,6863,FIJI,FIJI,country,pais,True
4050,4050,FINLAND,FINLAND,country,pais,True
4279,4279,FRANCE,FRANCE,country,pais,True
3170,3170,FRENCH GUIANA,FRENCH GUIANA,country,pais,True
6414,6414,FRENCH POLYNESIA,FRENCH POLYNESIA,country,pais,True
7905,7905,FRENCH SOUTHERN AND ANTARCTIC LANDS,FRENCH SOUTHERN AND ANTARCTIC LANDS,country,pais,True
7550,7550,GABON,GABON,country,pais,True
7500,7500,GAMBIA,GAMBIA,country,pais,True
5082,5082,GAZA STRIP ADMINISTERED BY ISRAEL,GAZA STRIP ADMINISTERED BY ISRAEL,country,pais,True
4633,4633,GEORGIA,GEORGIA,country,pais,True
4280,4280,GERMANY,GERMANY,country,pais,True
7490,7490,GHANA,GHANA,country,pais,True
4720,4720,GIBRALTAR,GIBRALTAR,country,pais,True
4840,4840,GREECE,GREECE,country,pais,True
1010,1010,GREENLAND,GREENLAND,country,pais,True
2489,2489,GRENADA,GRENADA,country,pais,True
2831,2831,GUADELOUPE,GUADELOUPE,country,pais,True
2050,2050,GUATEMALA,GUATEMALA,country,pais,True
7460,7460,GUINEA,GUINEA,country,pais,True
7642,7642,GUINEA-BISSAU,GUINEA-BISSAU,country,pais,True
3120,3120,GUYANA,GUYANA,country,pais,True
2450,2450,HAITI,HAITI,country,pais,True
6029,6029,HEARD AND MCDONALD ISLANDS,HEARD AND MCDONALD ISLANDS,country,pais,True
2150,2150,HONDURAS,HONDURAS,country,pais,True
5820,5820,HONG KONG,HONG KONG,country,pais,True
4370,4370,HUNGARY,HUNGARY,country,pais,True
4000,4000,ICELAND,ICELAND,country,pais,True
5330,5330,INDIA,INDIA,country,pais,True
5600,5600,INDONESIA,INDONESIA,country,pais,True
5070,5070,IRAN,IRAN,country,pais,True
5050,5050,IRAQ,IRAQ,country,pais,True
4190,4190,IRELAND,IRELAND,country,pais,True
5081,5081,ISRAEL,ISRAEL,country,pais,True
4759,4759,ITALY,ITALY,country,pais,True
2410,2410,JAMAICA,JAMAICA,country,pais,True
5880,5880,JAPAN,JAPAN,country,pais,True
5110,5110,JORDAN,JORDAN,country,pais,True
4634,4634,KAZAKHSTAN,KAZAKHSTAN,country,pais,True
7790,7790,KENYA,KENYA,country,pais,True
6226,6226,KIRIBATI,KIRIBATI,country,pais,True
5790,5790,"KOREA, NORTH","KOREA, NORTH",country,pais,True
5800,5800,"KOREA, SOUTH","KOREA, SOUTH",country,pais,True
4803,4803,KOSOVO,KOSOVO,country,pais,True
5130,5130,KUWAIT,KUWAIT,country,pais,True
4635,4635,KYRGYZSTAN,KYRGYZSTAN,country,pais,True
5530,5530,LAOS,LAOS,country,pais,True
4490,4490,LATVIA,LATVIA,country,pais,True
5040,5040,LEBANON,LEBANON,country,pais,True
7990,7990,LESOTHO,LESOTHO,country,pais,True
7650,7650,LIBERIA,LIBERIA,country,pais,True
7250,7250,LIBYA,LIBYA,country,pais,True
4411,4411,LIECHTENSTEIN,LIECHTENSTEIN,country,pais,True
4510,4510,LITHUANIA,LITHUANIA,country,pais,True
4239,4239,LUXEMBOURG,LUXEMBOURG,country,pais,True
5660,5660,MACAU,MACAU,country,pais,True
4794,4794,MACEDONIA,MACEDONIA,country,pais,True
7880,7880,MADAGASCAR,MADAGASCAR,country,pais,True
7970,7970,MALAWI,MALAWI,country,pais,True
5570,5570,MALAYSIA,MALAYSIA,country,pais,True
5683,5683,MALDIVES,MALDIVES,country,pais,True
7450,7450,MALI,MALI,country,pais,True
4730,4730,MALTA,MALTA,country,pais,True
6810,6810,MARSHALL ISLANDS,MARSHALL ISLANDS,country,pais,True
2839,2839,MARTINIQUE,MARTINIQUE,country,pais,True
7410,7410,MAURITANIA,MAURITANIA,country,pais,True
7850,7850,MAURITIUS,MAURITIUS,country,pais,True
7881,7881,MAYOTTE,MAYOTTE,country,pais,True
2010,2010,MEXICO,MEXICO,country,pais,True
6820,6820,MICRONESIA,MICRONESIA,country,pais,True
4641,4641,MOLDOVA,MOLDOVA,country,pais,True
4272,4272,MONACO,MONACO,country,pais,True
5740,5740,MONGOLIA,MONGOLIA,country,pais,True
4804,4804,MONTENEGRO,MONTENEGRO,country,pais,True
2485,2485,MONTSERRAT,MONTSERRAT,country,pais,True
7140,7140,MOROCCO,MOROCCO,country,pais,True
7870,7870,MOZAMBIQUE,MOZAMBIQUE,country,pais,True
7920,7920,NAMIBIA,NAMIBIA,country,pais,True
6862,6862,NAURU,NAURU,country,pais,True
5360,5360,NEPAL,NEPAL,country,pais,True
4210,4210,NETHERLANDS,NETHERLANDS,country,pais,True
6412,6412,NEW CALEDONIA,NEW CALEDONIA,country,pais,True
6141,6141,NEW ZEALAND,NEW ZEALAND,country,pais,True
2190,2190,NICARAGUA,NICARAGUA,country,pais,True
7510,7510,NIGER,NIGER,country,pais,True
7530,7530,NIGERIA,NIGERIA,country,pais,True
6144,6144,NIUE,NIUE,country,pais,True
6022,6022,NORFOLK ISLAND,NORFOLK ISLAND,country,pais,True
4039,4039,NORWAY,NORWAY,country,pais,True
